id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,2011,Strategy,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,Root Of Evil: The Tailor,2016-12-08,EastFog Studios,Action;Adventure;Casual;Indie;Simulation,Single-player,319.0,319.0,Positive,Positive,32.0,81,1,1,0
15666,Wizardry Twin Pack,PS3,2011,Role-Playing,Acquire,0.0,0.0,0.02,0.0,0.02,Achievement Lurker: Respectable Accomplishment,2017-11-01,Perverse Games,RPG,Single-player,85.0,85.0,Positive,Very Positive,269.0,83,1,0,0
15668,Moe Star: Moeru Toudai Eigojuku,DS,2008,Misc,Mirai Shounen,0.0,0.0,0.02,0.0,0.02,Deadly Sin 2,2014-05-12,Dancing Dragon Games,Casual;RPG,Single-player,259.0,259.0,Positive,Positive,10.0,80,1,0,0
15672,Tegami Bachi: Kokoro Tsumugu Mono e,PSP,2010,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,eXceed 2nd - Vampire REX,2012-08-02,Tennen-sozai,Action,Single-player,299.0,299.0,Positive,Mixed,126.0,42,1,0,0
15677,Rogue Trooper,XB,2006,Shooter,Eidos Interactive,0.01,0.0,0.0,0.0,0.02,Etherlords,2014-02-13,Nival,Strategy,Single-player,259.0,259.0,Mixed,Positive,35.0,91,1,0,0
15679,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PS3,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,Nusantara: Legend of The Winged Ones,2018-12-07,SweetChiel,Adventure;Casual;Indie;Simulation,Single-player,199.0,199.0,Positive,Mixed,1860.0,59,1,1,1
15680,Balls of Fury,DS,2007,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,Stand by you,2017-12-08,WATERPHOENIX.Inc,Adventure;Indie,Single-player,199.0,199.0,Positive,Mixed,489.0,68,1,0,0
15684,Stronghold Legends,PC,2006,Strategy,Take-Two Interactive,0.0,0.01,0.0,0.0,0.02,To End All Wars,2014-08-29,Ageod,Simulation;Strategy,Single-player,849.0,849.0,Mixed,Positive,30.0,86,1,0,0
15685,Kabushiki Baibai Trainer: Kabutore! Next,DS,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,Pickers,2012-02-22,MumboJumbo,Adventure;Casual,Single-player,369.0,369.0,Positive,Positive,13.0,100,1,1,0
15686,Machi: Unmei no Kousaten,PSP,2006,Adventure,ChunSoft,0.0,0.0,0.02,0.0,0.02,Greed: The Mad Scientist,2018-12-17,Urchin Games,Casual,Single-player,199.0,199.0,Positive,Mixed,38.0,68,1,0,0
15689,Machi-ing Maker 4,PS3,2011,Strategy,D3Publisher,0.0,0.0,0.02,0.0,0.02,Wild Animals - Animated Jigsaws,2016-11-07,BottleCube inc.,Casual;Simulation,Single-player,369.0,369.0,Positive,Positive,12.0,83,1,1,0
15690,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994,Sports,Misawa,0.0,0.0,0.02,0.0,0.02,Star Crusade CCG,2016-09-07,"ZiMAD, Inc.",Casual;Free to Play;Massively Multiplayer;Strategy,Single-player,0.0,0.0,Positive,Mostly Positive,57.0,73,1,0,0
15692,Robotics;Notes,PSV,2014,Adventure,5pb,0.0,0.0,0.02,0.0,0.02,Procyon,2014-02-26,Deadly Red Cube,Action;Indie,Single-player,165.0,165.0,Positive,Very Positive,6214.0,82,1,0,0
